date,tournament,home_team,away_team,home_score,away_score,winner,tournament_category
2001-06-06,FIFA World Cup qualification,Ukraine,Wales,1,1,Draw,Other Tournaments
2001-06-07,Confederations Cup,France,Brazil,2,1,France,International Major Tournaments
2001-06-07,Confederations Cup,Japan,Australia,1,0,Japan,International Major Tournaments
2001-06-07,Friendly,United States,Ecuador,0,0,Draw,Friendly/Invitationals
2001-06-08,FIFA World Cup qualification,New Zealand,Cook Islands,2,0,New Zealand,Other Tournaments
2001-06-08,FIFA World Cup qualification,Vanuatu,Solomon Islands,2,7,Solomon Islands,Other Tournaments
2001-06-09,Confederations Cup,Australia,Brazil,1,0,Australia,International Major Tournaments
2001-06-10,COSAFA Cup,Angola,Mauritius,1,0,Angola,Regional Tournaments
2001-06-10,Friendly,Jamaica,Cuba,4,1,Jamaica,Friendly/Invitationals
2001-06-10,Confederations Cup,Japan,France,0,1,France,International Major Tournaments
2001-06-10,Friendly,Kenya,Egypt,1,1,Draw,Friendly/Invitationals
2001-06-10,Friendly,Panama,Trinidad and Tobago,0,0,Draw,Friendly/Invitationals
2001-06-10,Friendly,Sierra Leone,Gambia,1,1,Draw,Friendly/Invitationals
2001-06-11,FIFA World Cup qualification,Cook Islands,Tahiti,0,6,Tahiti,Other Tournaments
2001-06-11,FIFA World Cup qualification,New Zealand,Solomon Islands,5,1,New Zealand,Other Tournaments
2001-06-13,FIFA World Cup qualification,New Zealand,Vanuatu,7,0,New Zealand,Other Tournaments
2001-06-13,FIFA World Cup qualification,Tahiti,Solomon Islands,2,0,Tahiti,Other Tournaments
2001-06-16,FIFA World Cup qualification,Jamaica,United States,0,0,Draw,Other Tournaments
2001-06-16,African Cup of Nations qualification,Madagascar,Zambia,0,1,Zambia,Other Tournaments
2001-06-16,African Cup of Nations qualification,Mauritius,Liberia,0,2,Liberia,Other Tournaments
2001-06-16,FIFA World Cup qualification,Mexico,Costa Rica,1,2,Costa Rica,Other Tournaments
2001-06-16,African Cup of Nations qualification,Morocco,Gabon,0,1,Gabon,Other Tournaments
2001-06-16,African Cup of Nations qualification,Namibia,Nigeria,0,2,Nigeria,Other Tournaments
2001-06-16,FIFA World Cup qualification,Trinidad and Tobago,Honduras,2,4,Honduras,Other Tournaments
2001-06-17,African Cup of Nations qualification,Angola,Burundi,2,1,Angola,Other Tournaments
2001-06-17,African Cup of Nations qualification,Burkina Faso,Algeria,1,0,Burkina Faso,Other Tournaments
2001-06-17,African Cup of Nations qualification,DR Congo,Zimbabwe,2,1,DR Congo,Other Tournaments
2001-06-17,African Cup of Nations qualification,Ghana,Lesotho,3,1,Ghana,Other Tournaments
2001-06-17,African Cup of Nations qualification,Ivory Coast,Egypt,2,2,Draw,Other Tournaments
2001-06-17,African Cup of Nations qualification,South Africa,Congo,0,0,Draw,Other Tournaments
2001-06-17,African Cup of Nations qualification,Sudan,Libya,1,0,Sudan,Other Tournaments
2001-06-17,African Cup of Nations qualification,Togo,Senegal,1,0,Togo,Other Tournaments
2001-06-17,African Cup of Nations qualification,Tunisia,Kenya,4,1,Tunisia,Other Tournaments
2001-06-20,FIFA World Cup qualification,Costa Rica,Jamaica,2,1,Costa Rica,Other Tournaments
2001-06-20,FIFA World Cup qualification,Honduras,Mexico,3,1,Honduras,Other Tournaments
2001-06-20,FIFA World Cup qualification,New Zealand,Australia,0,2,Australia,Other Tournaments
2001-06-20,FIFA World Cup qualification,United States,Trinidad and Tobago,2,0,United States,Other Tournaments
2001-06-21,Merdeka Tournament,Slovakia,Bosnia and Herzegovina,0,1,Bosnia and Herzegovina,Other Tournaments
2001-06-21,Merdeka Tournament,Malaysia,Bahrain,2,4,Bahrain,Other Tournaments
2001-06-23,Merdeka Tournament,Malaysia,Slovakia,0,2,Slovakia,Other Tournaments
2001-06-23,Merdeka Tournament,Bahrain,Bosnia and Herzegovina,0,1,Bosnia and Herzegovina,Other Tournaments
2001-06-23,Friendly,Bermuda,Trinidad and Tobago,0,5,Trinidad and Tobago,Friendly/Invitationals
2001-06-24,FIFA World Cup qualification,Australia,New Zealand,4,1,Australia,Other Tournaments
2001-06-24,Friendly,Belize,Cuba,3,2,Belize,Friendly/Invitationals
2001-06-24,COSAFA Cup,Lesotho,Zambia,1,2,Zambia,Regional Tournaments
2001-06-25,Merdeka Tournament,Bahrain,Slovakia,2,0,Bahrain,Other Tournaments
2001-06-25,Merdeka Tournament,Malaysia,Bosnia and Herzegovina,2,2,Draw,Other Tournaments
2001-06-26,Merdeka Tournament,India,Uzbekistan,1,2,Uzbekistan,Other Tournaments
2001-06-28,Merdeka Tournament,Bahrain,Uzbekistan,0,2,Uzbekistan,Other Tournaments
2001-06-28,Kirin Cup,Paraguay,Serbia,2,0,Paraguay,Friendly/Invitationals
2001-06-29,FIFA World Cup qualification,Libya,Angola,1,1,Draw,Other Tournaments
2001-06-30,Merdeka Tournament,Bosnia and Herzegovina,Uzbekistan,1,2,Uzbekistan,Other Tournaments
2001-06-30,Friendly,Greenland,Tibet,4,1,Greenland,Friendly/Invitationals
2001-06-30,FIFA World Cup qualification,Morocco,Egypt,1,0,Morocco,Other Tournaments
2001-06-30,FIFA World Cup qualification,Namibia,Algeria,0,4,Algeria,Other Tournaments
2001-06-30,FIFA World Cup qualification,Trinidad and Tobago,Jamaica,1,2,Jamaica,Other Tournaments
2001-07-01,FIFA World Cup qualification,Burkina Faso,South Africa,1,1,Draw,Other Tournaments
2001-07-01,FIFA World Cup qualification,Cameroon,Togo,2,0,Cameroon,Other Tournaments
2001-07-01,FIFA World Cup qualification,Honduras,Costa Rica,2,3,Costa Rica,Other Tournaments
2001-07-01,FIFA World Cup qualification,Ivory Coast,Madagascar,6,0,Ivory Coast,Other Tournaments
2001-07-01,Kirin Cup,Japan,Paraguay,2,0,Japan,Friendly/Invitationals
2001-07-01,FIFA World Cup qualification,Liberia,Ghana,1,2,Ghana,Other Tournaments
2001-07-01,Friendly,Malawi,Eswatini,2,2,Draw,Friendly/Invitationals
2001-07-01,FIFA World Cup qualification,Mexico,United States,1,0,Mexico,Other Tournaments
2001-07-01,FIFA World Cup qualification,Sudan,Nigeria,0,4,Nigeria,Other Tournaments
2001-07-01,FIFA World Cup qualification,Tunisia,Congo,6,0,Tunisia,Other Tournaments
2001-07-01,FIFA World Cup qualification,Uruguay,Brazil,1,0,Uruguay,Other Tournaments
2001-07-02,Friendly,El Salvador,Ecuador,0,1,Ecuador,Friendly/Invitationals
2001-07-03,Baltic Cup,Latvia,Estonia,3,1,Latvia,Regional Tournaments
2001-07-04,Baltic Cup,Estonia,Lithuania,2,5,Lithuania,Regional Tournaments
2001-07-04,Kirin Cup,Japan,Serbia,1,0,Japan,Friendly/Invitationals
2001-07-05,Baltic Cup,Latvia,Lithuania,4,1,Latvia,Regional Tournaments
2001-07-07,Friendly,Honduras,Ecuador,1,1,Draw,Friendly/Invitationals
2001-07-08,COSAFA Cup,Zimbabwe,Eswatini,2,1,Zimbabwe,Regional Tournaments
2001-07-08,Island Games,Ynys Môn,Saare County,4,1,Ynys Môn,Other Tournaments
2001-07-08,Island Games,Jersey,Orkney,12,0,Jersey,Other Tournaments
2001-07-08,Island Games,Isle of Wight,Greenland,0,0,Draw,Other Tournaments
2001-07-08,Island Games,Isle of Man,Falkland Islands,9,0,Isle of Man,Other Tournaments
2001-07-09,Island Games,Saare County,Shetland,2,3,Shetland,Other Tournaments
2001-07-09,Island Games,Orkney,Gibraltar,0,2,Gibraltar,Other Tournaments
2001-07-09,Island Games,Greenland,Rhodes,0,2,Rhodes,Other Tournaments
2001-07-09,Island Games,Guernsey,Falkland Islands,3,0,Guernsey,Other Tournaments
2001-07-10,Friendly,Singapore,Saudi Arabia,0,3,Saudi Arabia,Friendly/Invitationals
2001-07-10,Island Games,Ynys Môn,Shetland,1,1,Draw,Other Tournaments
2001-07-10,Island Games,Jersey,Gibraltar,2,1,Jersey,Other Tournaments
